"","y_pred_rf","index"
"239",53.8316333333333,418
"495",56.0117,419
"68",64.5770333333333,420
"240",66.4437,421
"446",55.6287,422
"69",68.4624999999999,423
"93",67.4703,424
"301",69.5490666666667,425
"325",68.6570333333334,426
"384",68.6231333333334,427
"21",66.3745666666666,428
"94",65.7857666666666,429
"114",64.6779,430
"156",67.9802666666667,431
"241",62.4171,432
"302",73.5085666666666,433
"427",61.8213333333333,434
"44",75.2448666666667,435
"115",43.2441333333333,436
"179",66.1624666666667,437
"278",67.8456333333333,438
"303",68.4829,439
"403",52.2239333333333,440
"496",63.6157666666667,441
"45",65.5309,442
"70",69.6234,443
"157",66.4554333333333,444
"326",72.1468333333333,445
"447",56.2783666666667,446
"546",63.4660333333333,447
"22",75.1532333333333,448
"116",61.8151333333333,449
"201",66.0813666666667,450
"354",67.9518,451
"46",68.6191333333334,452
"158",65.1782666666667,453
"202",61.6420666666667,454
"242",49.0161,455
"304",56.3615666666667,456
"355",55.8987666666667,457
"521",56.7607666666667,458
"203",68.5391333333333,459
"356",64.7369333333334,460
"522",49.0905,461
"95",68.6858,462
"159",69.3475,463
"279",46.4684666666667,464
"96",53.4862,465
"117",49.6011666666667,466
"180",67.952,467
"256",46.5647333333333,468
"357",78.8743666666667,469
"404",40.5673,470
"23",75.4166666666667,471
"47",77.6615666666667,472
"97",55.8172,473
"257",66.0534333333333,474
"305",69.6336,475
"358",68.7843333333333,476
"473",40.9025666666667,477
"523",58.8255666666667,478
"118",48.5612666666667,479
"204",62.1644,480
"243",55.8245666666666,481
"258",58.2406333333333,482
"327",70.8549333333333,483
"385",69.1296,484
"448",59.6459666666667,485
"474",48.1585333333333,486
"497",59.9390666666667,487
"24",58.7455666666667,488
"48",58.3492666666667,489
"119",59.8895,490
"160",71.7069,491
"259",62.7913,492
"280",63.3730333333333,493
"306",75.3771333333334,494
"359",73.544,495
"405",45.8540666666666,496
"475",55.0378,497
"49",62.6099666666667,498
"71",66.7308333333333,499
"98",66.1581333333333,500
"161",56.6160666666667,501
"181",70.8611666666667,502
"260",48.4269666666666,503
"386",56.2019,504
"498",68.2329,505
"524",56.5203666666666,506
"25",69.4685666666667,507
"162",67.3285,508
"223",58.3156,509
"281",66.2407333333333,510
"307",74.9411666666666,511
"360",74.0191333333333,512
"449",54.5981333333334,513
"499",49.3242,514
"163",84.2254333333333,515
"205",70.6551666666667,516
