"","X","song_name","artist_name","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","time_signature","week","ranking","sample"
"141",141,"Surround Sound (feat. 21 Savage & Baby Tate)","JID",0.57,0.573,5,-6.935,0.476,0.156,0,0.256,0.517,76.006,"0cp97b37sFNsdIbQH6po3T",229938,4,"3/24/2022",41,1
"143",143,"Sapped","EAZYBAKED",0.784,0.299,9,-7.061,0.0676,0.0119,0.731,0.119,0.0767,135.1,"4JjNV8vOKMIYY8eKs6I2Ii",231111,4,"3/24/2022",43,1
"144",144,"Antioch","Whiskey Myers",0.409,0.69,0,-6.066,0.0446,0.000793,1.22e-05,0.344,0.627,202.246,"51WNjmzTaO4kBTM7xBQP9h",245643,4,"3/24/2022",44,1
"145",145,"Sinner","Ekoh",0.708,0.81,1,-6.929,0.13,0.283,1.46e-05,0.196,0.681,142.017,"2sgexWeNhjksUA2CEQu6L9",220563,4,"3/24/2022",45,1
"146",146,"Come On, Let's Go (with Nigo)","Tyler, The Creator",0.732,0.734,11,-7.968,0.0974,0.136,0.000901,0.165,0.488,145.722,"6f44p3Kc4ayD9VtbC9Clkr",199500,4,"3/24/2022",46,1
"147",147,"Red Lights - EMBRZ Remix","Lane 8",0.793,0.605,4,-8.901,0.042,0.554,0.755,0.103,0.314,124.012,"5LRkGpPO2dYjqByYu7AsmD",206000,4,"3/24/2022",47,1
"149",149,"Killing Me","COIN",0.673,0.726,1,-6.623,0.0362,0.00847,0.0039,0.164,0.315,122.001,"4rXfbIpiDnGxZYIflm8LSQ",165774,4,"3/24/2022",49,1
"152",152,"Drop Top","TVBOO",0.845,0.816,7,-1.919,0.264,0.00956,0.209,0.25,0.723,143.959,"0EvhH70UAoakZInIqmZLVV",162500,4,"3/24/2022",52,1
"154",154,"Can't Have Mine (Find You A Girl)","Dylan Scott",0.663,0.502,5,-7.07,0.0285,0.791,0,0.105,0.371,143.969,"4q9NEq8kUmSZwtNsxL2KJN",183087,4,"3/24/2022",54,1
"155",155,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",0.659,0.745,10,-3.599,0.0347,0.0417,0,0.296,0.54,74.967,"2pOUHNwZJrFffS42SxPwt0",185600,4,"3/24/2022",55,1
"156",156,"Ready or Not (feat. Sierra Ferrell)","Shakey Graves",0.727,0.576,5,-9.722,0.052,0.464,0.0342,0.116,0.672,88.791,"2NAOqvZIf7onZ4kDLU560I",192902,4,"3/24/2022",56,1
"157",157,"Running Around","Goth Babe",0.655,0.815,0,-9.202,0.247,0.378,0.00142,0.0819,0.555,100.052,"35DHCZvQcy8PIM0eJmVS1X",268800,4,"3/24/2022",57,1
"158",158,"Ghost Story","Carrie Underwood",0.479,0.742,7,-5.587,0.0539,0.0069,0.000834,0.278,0.454,142.909,"2FGOg7uYBfnspkPOISXTFY",181400,3,"3/24/2022",58,1
"159",159,"WHERE WE ARE","The Lumineers",0.573,0.507,11,-8.084,0.0342,0.759,1.37e-06,0.377,0.363,123.183,"4MTmAFWHpvB9kPMSRgLFRp",172800,4,"3/24/2022",59,1
"160",160,"Windhorse","Of The Trees",0.347,0.352,6,-10.401,0.1,0.296,0.839,0.139,0.207,75.306,"6tTDDMmEJpyA97VNYQjjeP",234244,3,"3/24/2022",60,1
"161",161,"Walk Me Home","Said The Sky",0.4,0.485,8,-7.145,0.0369,0.0789,0,0.135,0.211,159.909,"3lG6pvrzze5fH20SKQFYon",216125,3,"3/24/2022",61,1
"162",162,"Big Energy","Latto",0.937,0.793,11,-4.431,0.115,0.0453,0,0.341,0.794,106.022,"4pi1G1x8tl9VfdD9bL3maT",172540,4,"3/24/2022",62,1
"163",163,"Nail Tech","Jack Harlow",0.647,0.581,4,-7.678,0.0884,0.0029,7.76e-06,0.119,0.113,150.149,"62Yo3FDddWY8ydu6PW2wyz",206385,4,"3/24/2022",63,1
"165",165,"Scared Money (feat. J. Cole and Moneybagg Yo)","YG",0.898,0.58,8,-7.632,0.26,0.0101,0,0.169,0.661,84.018,"4heBcjj4Lw3X2sQVFNbLbz",204286,4,"3/24/2022",65,1
"167",167,"Escape (feat. Hayla)","Kx5",0.66,0.799,9,-6.934,0.0719,0.179,0.000364,0.701,0.148,126.08,"10oKSzRcwbZsog2uq2gb4b",240445,4,"3/24/2022",67,1
"168",168,"SOLD OUT","HARDY",0.504,0.893,9,-4.801,0.0488,0.00556,1.83e-05,0.34,0.333,145.005,"3I56OBwJkDAyt9L00c8ois",202912,4,"3/24/2022",68,1
"169",169,"No Love (with SZA & Cardi B) - Extended Version","Summer Walker",0.722,0.613,1,-4.996,0.116,0.192,0,0.192,0.607,133.937,"0IMUFRaM2W3wKNM1CSQ4Zm",276214,4,"3/24/2022",69,1
"171",171,"Fall In Love","Bailey Zimmerman",0.524,0.643,9,-6.055,0.0297,0.451,0,0.221,0.397,135.962,"5gVCfYmQRPy1QJifP8f5gg",232059,4,"3/24/2022",71,1
"172",172,"Sirens (feat. Caroline Polachek)","Flume",0.325,0.746,6,-3.358,0.0789,0.124,0.0016,0.0992,0.0831,73.534,"56Qg15afWhWx83aFusmXc4",238019,4,"3/24/2022",72,1
"173",173,"Sky Is Crying (Kasbo Remix)","ZHU",0.51,0.799,9,-6.649,0.101,0.0527,0.000199,0.222,0.205,111.9,"3RgjEXlZkztwxqZQBGteQo",214286,4,"3/24/2022",73,1
"174",174,"IDGAF (with blackbear)","BoyWithUke",0.783,0.75,5,-5.762,0.078,0.426,0,0.241,0.88,97.953,"6Jrdb6CFOJEGaHjaa6c4WR",140665,4,"3/24/2022",74,1
