"","song_name","artist_name","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","time_signature","week"
"59","WHERE WE ARE","The Lumineers",0.573,0.507,11,-8.084,0.0342,0.759,1.37e-06,0.377,0.363,123.183,"4MTmAFWHpvB9kPMSRgLFRp",172800,4,2022-03-31
"60","Windhorse","Of The Trees",0.347,0.352,6,-10.401,0.1,0.296,0.839,0.139,0.207,75.306,"6tTDDMmEJpyA97VNYQjjeP",234244,3,2022-03-31
"61","Walk Me Home","Said The Sky",0.4,0.485,8,-7.145,0.0369,0.0789,0,0.135,0.211,159.909,"3lG6pvrzze5fH20SKQFYon",216125,3,2022-03-31
"62","Big Energy","Latto",0.937,0.793,11,-4.431,0.115,0.0453,0,0.341,0.794,106.022,"4pi1G1x8tl9VfdD9bL3maT",172540,4,2022-03-31
"63","Nail Tech","Jack Harlow",0.647,0.581,4,-7.678,0.0884,0.0029,7.76e-06,0.119,0.113,150.149,"62Yo3FDddWY8ydu6PW2wyz",206385,4,2022-03-31
"64","Loser","Sueco",0.61,0.894,5,-3.956,0.129,0.00317,0,0.0539,0.65,96.622,"01VbCa15MmvNg3KMOfoHa2",133679,4,2022-03-31
"65","Scared Money (feat. J. Cole and Moneybagg Yo)","YG",0.898,0.58,8,-7.632,0.26,0.0101,0,0.169,0.661,84.018,"4heBcjj4Lw3X2sQVFNbLbz",204286,4,2022-03-31
"66","Island Fever","Just A Gent",0.668,0.638,8,-6.935,0.0663,0.0403,0.152,0.0648,0.722,100.037,"0RKK3tkaNLKgR6HObMTCup",231600,4,2022-03-31
"67","Escape (feat. Hayla)","Kx5",0.66,0.799,9,-6.934,0.0719,0.179,0.000364,0.701,0.148,126.08,"10oKSzRcwbZsog2uq2gb4b",240445,4,2022-03-31
"68","SOLD OUT","HARDY",0.504,0.893,9,-4.801,0.0488,0.00556,1.83e-05,0.34,0.333,145.005,"3I56OBwJkDAyt9L00c8ois",202912,4,2022-03-31
"69","No Love (with SZA & Cardi B) - Extended Version","Summer Walker",0.722,0.613,1,-4.996,0.116,0.192,0,0.192,0.607,133.937,"0IMUFRaM2W3wKNM1CSQ4Zm",276214,4,2022-03-31
"70","Maze Of Punishment","SVDDEN DEATH",0.593,0.968,9,0.399,0.27,0.0265,0.0532,0.121,0.307,139.858,"2P6ikvgWJBj30waV68bG36",350127,4,2022-03-31
"71","Fall In Love","Bailey Zimmerman",0.524,0.643,9,-6.055,0.0297,0.451,0,0.221,0.397,135.962,"5gVCfYmQRPy1QJifP8f5gg",232059,4,2022-03-31
"72","Sirens (feat. Caroline Polachek)","Flume",0.325,0.746,6,-3.358,0.0789,0.124,0.0016,0.0992,0.0831,73.534,"56Qg15afWhWx83aFusmXc4",238019,4,2022-03-31
"73","Sky Is Crying (Kasbo Remix)","ZHU",0.51,0.799,9,-6.649,0.101,0.0527,0.000199,0.222,0.205,111.9,"3RgjEXlZkztwxqZQBGteQo",214286,4,2022-03-31
"74","IDGAF (with blackbear)","BoyWithUke",0.783,0.75,5,-5.762,0.078,0.426,0,0.241,0.88,97.953,"6Jrdb6CFOJEGaHjaa6c4WR",140665,4,2022-03-31
